nombre;descripcion;profesor;numEstudiantes
Matemática 1;Curso de matemáticas avanzadas;Dr. Juan Pérez;40
Física 2;Curso de física moderna;Prof. Laura Gómez;48
Programación Avanzada;Curso avanzado de programación en Java;Ing. Carlos Ruiz;39
Química;Introducción a los principios fundamentales de la química;Dr. Marta López;85
Álgebra Lineal;Estudio de matrices, determinantes y sistemas de ecuaciones lineales;Prof. José Ramírez;40
Termodinámica;Fundamentos de la transferencia de calor y la energía en sistemas físicos;Ing. Gabriela Torres;19
Robótica;Conceptos básicos de la robótica, sensores, actuadores y control;Ing. Valentina Soto;80
Estática;Análisis de fuerzas en equilibrio en cuerpos rígidos;Ing. Patricia Ortega;47
Electromagnetismo;Estudio de los campos eléctricos y magnéticos y sus interacciones;Dr. Andrés Silva;30
Mecánica de Fluidos;Dinámica de fluidos, fuerzas en líquidos y gases;Ing. Clara Fernández;0
Dibujo Técnico;Técnicas de representación gráfica de estructuras y diseños en ingeniería;Prof. Roberto Fuentes;92
